iter	Logloss
0	0.6331048718
1	0.582288611
2	0.5412363647
3	0.507862905
4	0.4795343845
5	0.4537079868
6	0.4324162774
7	0.4145450383
8	0.4004482506
9	0.3883873353
10	0.3779349805
11	0.3691206247
12	0.3613535032
13	0.3549803995
14	0.3492357771
15	0.3440444583
16	0.3393162134
17	0.3353578497
18	0.3319229477
19	0.3289320304
20	0.3263810239
21	0.3240844933
22	0.3220706236
23	0.3202686023
24	0.3187384317
25	0.3173442105
26	0.3161117118
27	0.3150103689
28	0.3140179043
29	0.3130618773
30	0.3124795668
31	0.3117388525
32	0.3111947158
33	0.3106614421
34	0.3101593152
35	0.3095592306
36	0.3089941597
37	0.3086442411
38	0.3082504358
39	0.3078876361
40	0.3075979805
41	0.3072890967
42	0.306976224
43	0.3067598699
44	0.306561562
45	0.306377352
46	0.306221425
47	0.3060022579
48	0.3058502006
49	0.3056522126
50	0.3054991493
51	0.3053565082
52	0.3052500204
53	0.3051614226
54	0.3050428857
55	0.3049115226
56	0.3047938187
57	0.3046872261
58	0.3045914132
59	0.3044928229
60	0.3043855639
61	0.3043082709
62	0.3042265239
63	0.3041573541
64	0.3040800118
65	0.3039613076
66	0.303854444
67	0.3037817195
68	0.303678001
69	0.3035809185
70	0.3035227593
71	0.3034644389
72	0.3034025979
73	0.3033312342
74	0.3032708103
75	0.3032044069
76	0.3031409023
77	0.303060749
78	0.3030028789
79	0.3029499082
80	0.3029105955
81	0.3028423375
82	0.3027716238
83	0.3027138684
84	0.302665019
85	0.3026011731
86	0.3025494486
87	0.302471118
88	0.3024156648
89	0.3023657704
90	0.3023200445
91	0.3022502257
92	0.3021914019
93	0.3021408294
94	0.3020933688
95	0.3020432229
96	0.3019786149
97	0.301934503
98	0.3018895071
99	0.3018430023
100	0.3018147645
101	0.3017805271
102	0.3017352587
103	0.3017016764
104	0.3016634341
105	0.3016352311
106	0.3015929892
107	0.30154864
108	0.3015059069
109	0.3014690333
110	0.3014446749
111	0.3013934248
112	0.3013551695
113	0.3013039635
114	0.3012712756
115	0.3012408677
116	0.30119707
117	0.3011615879
118	0.3011101746
119	0.3010687956
120	0.3010371913
121	0.3010042084
122	0.3009684598
123	0.3009171506
124	0.3008685954
125	0.3008405421
126	0.3008023329
127	0.3007682508
128	0.3007294856
129	0.3006977263
130	0.3006538032
131	0.3006257324
132	0.3005836881
133	0.3005552482
134	0.300521286
135	0.3004900511
136	0.300450723
137	0.3004067626
138	0.3003847786
139	0.300348913
140	0.3003226069
141	0.3002935277
142	0.3002575646
143	0.3002250801
144	0.3002024307
145	0.3001734928
146	0.3001425892
147	0.3001060373
148	0.300059438
149	0.3000235323
150	0.2999911637
151	0.2999621469
152	0.2999409777
153	0.2998933724
154	0.2998630677
155	0.2998325893
156	0.2997994765
157	0.2997725615
158	0.2997270639
159	0.2996974222
160	0.2996729718
161	0.2996463345
162	0.2996252227
163	0.299591421
164	0.2995538625
165	0.2995216783
166	0.299487974
167	0.2994625729
168	0.2994260114
169	0.2993964984
170	0.2993659647
171	0.2993392913
172	0.2993058625
173	0.2992729395
174	0.2992407593
175	0.29920497
176	0.2991696016
177	0.299135405
178	0.2991002373
179	0.2990560899
180	0.2990216987
181	0.2989965949
182	0.2989693424
183	0.2989302338
184	0.2989056341
185	0.2988721731
186	0.2988344291
187	0.2988044973
188	0.2987723796
189	0.2987444302
190	0.2987203099
191	0.2986842504
192	0.2986454407
193	0.298613386
194	0.2985819391
195	0.2985454433
196	0.2985093943
197	0.2984771165
198	0.298445336
199	0.2984192768
200	0.2983800316
201	0.2983476504
202	0.2983180743
203	0.2982879157
204	0.2982511437
205	0.2982134388
206	0.2981683694
207	0.298144365
208	0.2981109838
209	0.298077314
210	0.2980542584
211	0.2980149923
212	0.2979779946
213	0.2979519262
214	0.2979304098
215	0.2978975754
216	0.2978666269
217	0.2978243546
218	0.2977948379
219	0.2977511149
220	0.2977193427
221	0.297682845
222	0.2976507281
223	0.2976114309
224	0.2975743562
225	0.2975344241
226	0.2975010922
227	0.2974619612
228	0.2974343052
229	0.2974002677
230	0.2973749763
231	0.2973412349
232	0.2973161255
233	0.2972866572
234	0.2972623221
235	0.2972329045
236	0.2971940967
237	0.2971682532
238	0.2971315964
239	0.2971102047
240	0.297069053
241	0.2970372989
242	0.2970127865
