iter	Passed	Remaining
0	27	81467
1	50	75580
2	73	72941
3	95	71483
4	117	70165
5	138	69040
6	159	68271
7	183	68587
8	206	68713
9	232	69459
10	259	70430
11	284	70812
12	311	71552
13	335	71656
14	361	71873
15	384	71639
16	405	71193
17	429	71198
18	452	70949
19	477	71113
20	502	71280
21	523	70819
22	543	70296
23	563	69845
24	584	69576
25	605	69285
26	625	68924
27	647	68727
28	667	68388
29	690	68315
30	709	67943
31	729	67619
32	747	67198
33	766	66842
34	785	66572
35	807	66460
36	828	66372
37	849	66185
38	870	66066
39	892	66045
40	913	65952
41	938	66091
42	966	66444
43	993	66741
44	1020	67003
45	1046	67226
46	1073	67446
47	1101	67727
48	1128	67963
49	1152	67974
50	1175	67985
51	1204	68284
52	1232	68516
53	1257	68615
54	1280	68558
55	1305	68648
56	1331	68757
57	1354	68693
58	1378	68709
59	1401	68661
60	1422	68530
61	1444	68436
62	1463	68244
63	1484	68114
64	1504	67921
65	1525	67795
66	1545	67644
67	1567	67568
68	1585	67365
69	1603	67113
70	1623	66995
71	1642	66795
72	1664	66732
73	1682	66537
74	1702	66393
75	1720	66212
76	1741	66096
77	1761	65983
78	1783	65928
79	1802	65794
80	1822	65686
81	1840	65491
82	1859	65361
83	1880	65283
84	1898	65111
85	1918	65006
86	1938	64918
87	1957	64782
88	1977	64688
89	1998	64604
90	2017	64492
91	2036	64384
92	2055	64257
93	2076	64195
94	2097	64146
95	2119	64126
96	2139	64022
97	2157	63902
98	2180	63889
99	2205	63946
100	2230	64030
101	2257	64125
102	2281	64179
103	2307	64250
104	2335	64400
105	2361	64482
106	2386	64513
107	2410	64545
108	2436	64631
109	2461	64663
110	2485	64688
111	2508	64671
112	2530	64639
113	2552	64622
114	2574	64581
115	2593	64481
116	2613	64390
117	2633	64317
118	2653	64229
119	2673	64172
120	2693	64088
121	2712	63998
122	2733	63939
123	2753	63857
124	2773	63785
125	2792	63691
126	2811	63610
127	2831	63540
128	2850	63432
129	2870	63376
130	2889	63290
131	2908	63187
132	2927	63106
133	2947	63042
134	2966	62958
135	2986	62898
136	3005	62812
137	3024	62727
138	3043	62651
139	3064	62605
140	3084	62550
141	3104	62482
142	3125	62436
143	3144	62358
144	3163	62296
145	3183	62233
146	3203	62176
147	3221	62075
148	3240	62003
149	3262	61991
150	3288	62038
151	3312	62071
152	3339	62148
153	3364	62184
154	3391	62253
155	3417	62300
156	3441	62323
157	3468	62391
158	3497	62491
159	3534	62735
160	3558	62743
161	3581	62749
162	3608	62809
163	3632	62820
164	3657	62846
165	3682	62869
166	3707	62897
167	3729	62871
168	3752	62867
169	3773	62822
170	3793	62756
171	3814	62712
172	3833	62648
173	3856	62629
174	3878	62609
175	3898	62554
176	3918	62498
177	3938	62434
178	3959	62398
179	3979	62352
180	4000	62310
181	4026	62336
182	4051	62367
183	4078	62415
184	4102	62431
185	4128	62453
186	4155	62505
187	4178	62499
188	4204	62536
189	4228	62540
190	4253	62560
191	4279	62585
192	4314	62744
193	4340	62775
194	4364	62787
195	4389	62791
196	4413	62801
197	4438	62805
198	4463	62822
199	4488	62834
200	4514	62861
201	4538	62864
202	4564	62895
203	4589	62896
204	4614	62914
205	4639	62923
206	4662	62914
207	4688	62937
208	4714	62953
209	4739	62973
210	4764	62971
211	4787	62956
212	4811	62961
213	4836	62970
214	4859	62946
215	4881	62915
216	4902	62879
217	4925	62862
218	4947	62824
219	4968	62780
220	4990	62747
221	5011	62705
222	5032	62668
223	5055	62652
224	5077	62625
225	5099	62592
226	5120	62554
227	5142	62523
228	5163	62475
229	5182	62416
230	5203	62370
231	5221	62301
232	5241	62244
233	5262	62209
234	5282	62148
235	5303	62111
236	5323	62064
237	5345	62035
238	5366	61994
239	5387	61952
240	5407	61900
241	5428	61868
